"Review priority","Name","New-site slug","Department","Proposed category","Price (NGN)","Photo count","Sizes","Colour","Fabric","Fit","Marked new","Category review needed","Colour review needed","Fabric review needed","Fit review needed","Checkout enabled","Managed preview path","Legacy source image"
"83","The Abyss","soso-58","men","Kaftans","250000","2","S | M | L | XL | XXL","Blue","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1019/1-9475da1a820b.jpg","https://shopsoso.co/wp-content/uploads/2023/06/IMG_7703.jpg"
"84","The Cyano","soso-57","men","Kaftans","250000","3","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1010/1-a37fe8bcad13.jpg","https://shopsoso.co/wp-content/uploads/2023/06/IMG_7587-3.jpg"
"85","The Cirus","soso-55","men","Kaftans","250000","3","S | M | L | XL | XXL","White","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/994/1-ae910ffbccf1.jpg","https://shopsoso.co/wp-content/uploads/2023/06/IMG_8562.jpg"
"86","The Vermeil","soso-54","men","Kaftans","250000","4","S | M | L | XL | XXL","Red","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/984/1-230a8512e767.jpg","https://shopsoso.co/wp-content/uploads/2023/06/IMG_8445.jpg"
"87","The Mariner","soso-53","men","Kaftans","250000","2","S | M | L | XL | XXL","Blue","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/967/1-dc1006a5a4bd.jpg","https://shopsoso.co/wp-content/uploads/2023/06/WhatsApp-Image-2023-06-05-at-11.55.02-AM.jpeg"
"88","The Basalt","soso-56","men","Kaftans","250000","2","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/961/1-0bcba7e192b6.jpg","https://shopsoso.co/wp-content/uploads/2023/06/IMG_7584-1.jpg"
"89","Ragale","soso-52","men","Agbadas","500000","1","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/864/1-ea2715bfeb44.jpg","https://shopsoso.co/wp-content/uploads/2023/02/IMG_2914-scaled.jpg"
"90","Majesty","soso-51","men","Agbadas","500000","1","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/857/1-2b2c9cc983de.jpg","https://shopsoso.co/wp-content/uploads/2023/02/IMG_4819-scaled.jpg"
"91","The Moss","soso-59","men","Kaftans","250000","1","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/850/1-8aaf8dd8eedd.jpg","https://shopsoso.co/wp-content/uploads/2023/02/D85_7149-scaled.jpg"
"92","The Jade","soso-47","men","Kaftans","250000","3","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/822/1-c483ab6fea4f.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-15-at-4.02.01-PM.jpeg"
"93","Regnum","soso-46","men","Agbadas","500000","1","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/811/1-487685946b9f.jpg","https://shopsoso.co/wp-content/uploads/2023/02/IMG_0628.jpg"
"94","Imperius","soso-45","men","Agbadas","500000","3","S | M | L | XL | XXL","Green","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/804/1-e31ee6462694.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-15-at-6.55.02-PM.jpeg"
"95","Graphite","soso-44","men","Kaftans","250000","2","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/790/1-1befe110cbd5.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-13-at-5.53.00-PM-2.jpeg"
"96","Cirrus","soso-43","men","Kaftans","250000","1","S | M | L | XL | XXL","White","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/782/1-8e5e90a0253d.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-13-at-5.48.04-PM-2.jpeg"
"97","The Amiral","soso-42","men","Kaftans","250000","2","S | M | L | XL | XXL","Blue","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/775/1-b7e4484c3c88.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-13-at-5.48.03-PM-2.jpeg"
"98","The Navarra","soso-41","men","Kaftans","250000","1","S | M | L | XL | XXL","Blue","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/752/1-5536d9f8122f.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.20.04-AM-1.jpeg"
"99","The Ledger","soso-40","men","Kaftans","250000","1","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/745/1-05873e27fbfc.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.20.04-AM.jpeg"
"100","The Vellum","soso-39","men","Kaftans","250000","1","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/738/1-51ba49ca8fab.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.20.03-AM-1.jpeg"
"101","The Zeste","soso-38","men","Kaftans","250000","1","S | M | L | XL | XXL","Green","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/731/1-848f06a6f462.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.20.03-AM.jpeg"
"102","The Vesper","soso-37","men","Kaftans","250000","1","S | M | L | XL | XXL","Blue","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/724/1-f01749e9fa49.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.20.02-AM-1.jpeg"
"103","The Cacao","soso-36","men","Kaftans","250000","1","S | M | L | XL | XXL","Brown","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/717/1-6deed8fafabc.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.20.02-AM.jpeg"
"104","The Marino","soso-35","men","Kaftans","250000","1","S | M | L | XL | XXL","Blue","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/710/1-52cac6d7aa04.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.20.01-AM-1.jpeg"
"105","The Tarnish","soso-33","men","Kaftans","250000","1","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/695/1-45b3b7d1e04b.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.20.00-AM-1.jpeg"
"106","The Sage","soso-31","men","Kaftans","250000","1","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/681/1-3a2f576899d0.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.19.59-AM-1.jpeg"
"107","The Cyan","soso-30","men","Kaftans","250000","1","S | M | L | XL | XXL","Blue","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/674/1-ddf346b3515d.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.19.59-AM.jpeg"
"108","The Tabac","soso-29","men","Kaftans","250000","1","S | M | L | XL | XXL","Brown","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/667/1-e26b77c06f06.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.19.58-AM.jpeg"
"109","The Citron","soso-28","men","Kaftans","250000","1","S | M | L | XL | XXL","Green","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/660/1-fae874e3e9aa.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.10.44-AM-3.jpeg"
"110","The Marfil","soso-27","men","Kaftans","250000","1","S | M | L | XL | XXL","White","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/652/1-4a504c182aad.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.10.44-AM-2.jpeg"
"111","The Rogue","soso-21","men","Kaftans","250000","1","S | M | L | XL | XXL","Red","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/645/1-b0c48a72abc3.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.10.44-AM-1.jpeg"
"112","The Nube","soso-26","men","Kaftans","250000","1","S | M | L | XL | XXL","White","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/638/1-ad846f186566.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.10.43-AM-3.jpeg"
"113","The Imperial","soso-25","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/631/1-27082978af83.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.09.05-AM.jpeg"
"114","The Sapphire","soso-24","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","Blue","To be confirmed","To be confirmed","No","Yes","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/624/1-716abeedce33.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.09.04-AM-1.jpeg"
"115","The Obsidian","soso-23","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","Yes","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/617/1-96d995d6b967.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.09.04-AM.jpeg"
"116","The Legacy","soso-22","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/610/1-a149d06c095e.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.09.03-AM-2.jpeg"
"117","The Noble","soso-20","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/597/1-5b2ff49efc1e.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.09.03-AM.jpeg"
"118","The Azure","soso-19","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","Blue","To be confirmed","To be confirmed","No","Yes","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/590/1-42d53b4ffe12.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.09.02-AM-1.jpeg"
"119","The Olive","soso-18","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","Green","To be confirmed","To be confirmed","No","Yes","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/583/1-8ae8431c6795.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.09.02-AM.jpeg"
"120","The Midnight","soso-17","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/576/1-5dbd52356721.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.09.01-AM-1.jpeg"
"121","The Onyx","soso-16","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","Yes","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/569/1-61e21a603a6b.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.09.01-AM.jpeg"
"122","The Regent","soso-15","men","Men's Ready-to-Wear","250000","2","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/561/1-63798c7a3128.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.09.00-AM-1.jpeg"
"123","The Axis","soso-14","men","Men's Ready-to-Wear","250000","2","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/553/1-878a5ced8ef8.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.09.00-AM.jpeg"
"124","The Heritage","soso-13","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/544/1-5eac6445fe75.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.08.58-AM-2.jpeg"
"125","The Commander","soso-04","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/519/1-3422529bdd78.jpg","https://shopsoso.co/wp-content/uploads/2023/02/IMG_7983-scaled.jpg"
"126","The Mosaic","soso-07","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/512/1-bd20cf34a210.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.10.43-AM-2.jpeg"
"127","The Slate","soso-06","men","Men's Ready-to-Wear","250000","2","S | M | L | XL | XXL","Grey","To be confirmed","To be confirmed","No","Yes","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/506/1-b63cd9eb92e3.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.jpg"
"128","The Sovereign","soso-02","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/500/1-1eaaed2a2bb4.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.08.56-AM.jpeg"
"129","The Pinstripe","soso-08","men","Men's Ready-to-Wear","250000","2","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/494/1-1dd224d4fa3d.jpg","https://shopsoso.co/wp-content/uploads/2023/02/IMG_3788.jpg"
"130","The Skycrest","soso-05","men","Men's Ready-to-Wear","250000","2","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/488/1-4c4d3162843d.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.31.40-AM.jpeg"
"131","The Noir","soso-01","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","Yes","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/482/1-4689fd541361.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.08.55-AM.jpeg"
"132","The Eclipse","soso-03","men","Men's Ready-to-Wear","250000","1","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/476/1-a183d9d644d3.jpg","https://shopsoso.co/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-08-at-11.10.43-AM.jpeg"
"133","The Sapphire","soso-12","men","Men's Ready-to-Wear","250000","2","S | M | L | XL | XXL","Blue","To be confirmed","To be confirmed","No","Yes","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/444/1-d61933e72ed1.jpg","https://shopsoso.co/wp-content/uploads/2023/02/IMG_298511-1.jpg"
"134","The Valence","soso-11","men","Men's Ready-to-Wear","250000","2","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/435/1-04ef68ae41a6.jpg","https://shopsoso.co/wp-content/uploads/2023/02/IMG_2965.jpg"
"135","The Gallery","soso-10","men","Men's Ready-to-Wear","250000","3","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/426/1-093d82527542.jpg","https://shopsoso.co/wp-content/uploads/2023/02/IMG_3793.jpg"
"136","The Royal","soso-09","men","Men's Ready-to-Wear","250000","3","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/417/1-558d356eb348.jpg","https://shopsoso.co/wp-content/uploads/2023/02/IMG_2962.jpg"
"137","Canvas","canvas","women","Women's Ready-to-Wear","130000","3","S | M | L | XL | XXL","Ivory with botanical embroidery","Premium linen","Relaxed longline","Yes","No","No","No","No","No","/api/storage/objects/uploads/legacy-catalogue/3239/1-8a94b295a89c.jpg","https://shopsoso.co/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-10.15.08-PM10.jpeg"
"138","Varen","varen","women","Women's Ready-to-Wear","130000","5","S | M | L | XL | XXL","Black with red trim","Dubai silk","Relaxed two-piece","Yes","No","No","No","No","No","/api/storage/objects/uploads/legacy-catalogue/3233/1-ceb691c4f3c4.jpg","https://shopsoso.co/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-8.47.14-PM11.jpeg"
"139","Viren","viren","women","Women's Ready-to-Wear","150000","5","S | M | L | XL | XXL","Ivory","Dubai silk","Sleeveless two-piece","Yes","No","No","No","No","No","/api/storage/objects/uploads/legacy-catalogue/3194/1-bc8f6a625447.jpg","https://shopsoso.co/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-9.09.04-PM14.jpeg"
"140","Sovan","sovan","women","Women's Ready-to-Wear","100000","4","S | M | L | XL | XXL","Black","Atelier-selected fabric","Relaxed longline shirt","Yes","No","No","No","No","No","/api/storage/objects/uploads/legacy-catalogue/1579/1-fee27c9d2b36.jpg","https://shopsoso.co/wp-content/uploads/2024/07/IMG_8394-scaled.jpg"
"141","Aurel","aurel","women","Women's Ready-to-Wear","125000","2","S | M | L | XL | XXL","Black","Atelier-selected fabric","Relaxed two-piece","Yes","No","No","No","No","No","/api/storage/objects/uploads/legacy-catalogue/1429/1-c74f274a714f.jpg","https://shopsoso.co/wp-content/uploads/2024/04/WhatsApp-Image-2024-04-27-at-1.23.31-PM-2.jpeg"
"142","Soven","soven","women","Women's Ready-to-Wear","100000","4","S | M | L | XL | XXL","Ivory","Atelier-selected fabric","Relaxed longline shirt","Yes","No","No","No","No","No","/api/storage/objects/uploads/legacy-catalogue/1475/1-ded85e493e2c.jpg","https://shopsoso.co/wp-content/uploads/2024/07/WhatsApp-Image-2024-07-07-at-9.59.17-AM-1.jpeg"
"143","Vault","vault","men","Kaftans","250000","3","S | M | L | XL | XXL | Custom","As shown","Atelier-selected fabric","Regular","No","No","No","No","No","No","/api/storage/objects/uploads/legacy-catalogue/2579/1-c76c2f1f6110.jpg","https://shopsoso.co/wp-content/uploads/2025/05/SOSO_S.O.STUDIOS10054-scaled.jpg"
